tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
1,2,48.48528137423857,1,1,45,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
10,2,48.80983669457533,1,1,43,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
7,2,48.834471631525375,1,1,39,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
1,1,49.34166020071207,1,1,41,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
1,3,50.23334547203385,1,1,45,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
7,3,51.42094619989748,1,1,43,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
9,4,52.27357041880592,1,1,41,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
5,1,53.721349351738354,1,1,51,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
4,3,54.65028153987288,1,1,44,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
10,3,56.130023514118925,1,1,41,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
6,3,57.12059100017112,1,1,42,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
6,4,57.64722854478518,1,1,43,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
5,2,59.31370849898475,1,1,57,1231,47.018407961550345,0.0381952948509751,29.361616161616162,16377.392344111578
11,1,65.06177259678003,2,2,61,336,75.40666252153295,0.22442459083789568,29.926262626262623,4442.224465665349
11,2,68.38477631085021,2,2,64,336,75.40666252153295,0.22442459083789568,29.926262626262623,4442.224465665349
11,3,74.72792206135784,2,2,72,336,75.40666252153295,0.22442459083789568,29.926262626262623,4442.224465665349
5,3,78.17008732545825,2,2,69,336,75.40666252153295,0.22442459083789568,29.926262626262623,4442.224465665349
5,4,90.6887543132184,2,2,70,336,75.40666252153295,0.22442459083789568,29.926262626262623,4442.224465665349
